month_label,food_index
2023-11,80.28006510075379
2023-12,82.46586296084836
2024-01,85.11460096832012
2024-02,88.34014970998146
2024-03,91.53498427034037
2024-04,93.82791761816425
2024-05,95.97182142347842
2024-06,98.41840949939585
2024-07,100.8513391112091
2024-08,103.24146831845322
2024-09,105.96532290285809
2024-10,109.07808142892328
2024-11,112.33200953637858
2024-12,115.32389521249738
2025-01,110.33
2025-02,112.176425
2025-03,114.62
2025-04,116.98
2025-05,119.536856
2025-06,123.42437
2025-07,127.27
2025-08,129.366544
2025-09,127.33
2025-10,126.86
2025-11,128.29
2025-12,127.83
2026-01,120.14
2026-02,125.77
2026-03,131.017005
2026-04,135.77
2026-05,139.809861
2026-06,145.05
2026-07,153.12165
2026-08,154.68
